nr	nv	nt	capacity
25	10	2	-1

node	x	y	a	b	load	s	vcap
p0	162	139	34	69	1	3	0
d0	1	79	285	321	-1	1	0
p1	172	140	368	405	3	2	0
d1	109	109	488	530	-3	3	0
p2	192	123	24	58	2	4	0
d2	27	149	381	412	-2	4	0
p3	16	198	304	342	2	2	0
d3	149	59	536	577	-2	1	0
p4	86	3	124	166	3	3	0
d4	67	74	212	244	-3	4	0
p5	35	133	218	252	2	1	0
d5	132	199	395	437	-2	3	0
p6	31	152	233	276	2	1	0
d6	187	185	454	488	-2	2	0
p7	50	137	43	78	3	2	0
d7	99	43	211	244	-3	2	0
p8	83	120	47	89	3	2	0
d8	99	150	76	108	-3	1	0
p9	157	184	73	103	1	4	0
d9	9	60	307	348	-1	1	0
p10	19	17	369	399	2	2	0
d10	2	113	486	521	-2	3	0
p11	142	45	105	142	3	1	0
d11	42	166	415	447	-3	1	0
p12	114	136	152	192	1	1	0
d12	11	38	386	420	-1	1	0
p13	184	84	24	71	3	1	0
d13	152	5	151	192	-3	4	0
p14	20	186	377	413	2	3	0
d14	64	174	434	473	-2	1	0
p15	160	77	26	66	3	3	0
d15	74	129	319	351	-3	4	0
p16	124	63	150	186	3	4	0
d16	117	63	147	177	-3	4	0
p17	61	9	90	131	2	3	0
d17	62	91	227	276	-2	2	0
p18	81	108	96	144	3	3	0
d18	79	104	99	137	-3	3	0
p19	75	96	221	254	3	2	0
d19	139	134	527	569	-3	3	0
p20	12	30	82	128	2	1	0
d20	150	39	263	302	-2	1	0
p21	81	28	188	228	1	4	0
d21	138	46	253	290	-1	2	0
p22	35	36	54	92	3	2	0
d22	63	197	370	406	-3	1	0
p23	68	56	132	167	3	4	0
d23	96	45	169	213	-3	2	0
p24	27	86	73	107	1	1	0
d24	179	87	299	340	-1	3	0
o0	150	100	0	600	0	0	11
e0	150	100	0	600	0	0	11
o1	150	100	0	600	0	0	9
e1	150	100	0	600	0	0	9
o2	50	100	0	600	0	0	11
e2	50	100	0	600	0	0	11
o3	50	100	0	600	0	0	9
e3	50	100	0	600	0	0	9
o4	50	100	0	600	0	0	11
e4	50	100	0	600	0	0	11
o5	150	100	0	600	0	0	10
e5	150	100	0	600	0	0	10
o6	50	100	0	600	0	0	9
e6	50	100	0	600	0	0	9
o7	150	100	0	600	0	0	9
e7	150	100	0	600	0	0	9
o8	50	100	0	600	0	0	9
e8	50	100	0	600	0	0	9
o9	150	100	0	600	0	0	8
e9	150	100	0	600	0	0	8
ts.0	100	150	0	600	0	2	0
tf.0	100	150	0	600	0	2	0
ts.1	100	50	0	600	0	2	0
tf.1	100	50	0	600	0	2	0
