nr	nv	nt	capacity
30	12	1	-1

node	x	y	a	b	load	s	vcap
p0	48	126	13	52	1	1	0
d0	67	93	531	560	-1	3	0
p1	81	117	29	44	1	4	0
d1	64	21	305	327	-1	4	0
p2	156	67	30	53	1	4	0
d2	10	121	188	236	-1	2	0
p3	70	156	292	323	1	4	0
d3	110	191	368	391	-1	2	0
p4	108	90	211	259	1	3	0
d4	120	63	268	293	-1	3	0
p5	153	48	386	425	3	2	0
d5	70	108	505	548	-3	1	0
p6	61	107	8	26	3	1	0
d6	105	178	100	133	-3	4	0
p7	198	147	58	81	2	1	0
d7	63	178	255	266	-2	3	0
p8	86	3	124	166	3	3	0
d8	67	74	212	244	-3	4	0
p9	41	130	16	44	3	2	0
d9	190	126	337	370	-3	4	0
p10	35	133	218	252	2	1	0
d10	132	199	395	437	-2	3	0
p11	83	120	47	67	3	2	0
d11	99	150	76	94	-3	1	0
p12	136	95	8	21	3	2	0
d12	190	54	86	101	-3	1	0
p13	158	56	89	103	3	4	0
d13	33	41	357	391	-3	3	0
p14	150	20	298	301	3	3	0
d14	113	77	439	466	-3	1	0
p15	92	145	152	192	1	4	0
d15	149	19	311	345	-1	1	0
p16	106	179	107	153	2	3	0
d16	62	74	241	274	-2	2	0
p17	20	186	377	402	2	3	0
d17	64	174	434	473	-2	1	0
p18	160	77	26	66	3	3	0
d18	74	129	319	336	-3	4	0
p19	124	63	150	169	3	4	0
d19	117	63	147	177	-3	4	0
p20	81	108	96	144	3	3	0
d20	79	104	99	137	-3	3	0
p21	75	96	221	250	3	2	0
d21	139	134	527	569	-3	3	0
p22	12	30	82	128	2	1	0
d22	150	39	263	302	-2	1	0
p23	81	28	188	216	1	4	0
d23	138	46	253	290	-1	2	0
p24	178	74	33	40	3	1	0
d24	0	199	346	387	-3	3	0
p25	146	37	288	331	1	2	0
d25	198	39	388	400	-1	1	0
p26	35	36	54	75	3	2	0
d26	63	197	370	397	-3	1	0
p27	1	37	73	107	1	1	0
d27	167	1	305	332	-1	3	0
p28	127	186	115	145	1	2	0
d28	137	61	525	550	-1	3	0
p29	27	86	73	101	1	1	0
d29	179	87	299	325	-1	3	0
o0	150	100	0	600	0	0	9
e0	150	100	0	600	0	0	9
o1	150	100	0	600	0	0	8
e1	150	100	0	600	0	0	8
o2	50	100	0	600	0	0	12
e2	50	100	0	600	0	0	12
o3	50	100	0	600	0	0	6
e3	50	100	0	600	0	0	6
o4	50	100	0	600	0	0	6
e4	50	100	0	600	0	0	6
o5	150	100	0	600	0	0	7
e5	150	100	0	600	0	0	7
o6	50	100	0	600	0	0	11
e6	50	100	0	600	0	0	11
o7	150	100	0	600	0	0	9
e7	150	100	0	600	0	0	9
o8	50	100	0	600	0	0	7
e8	50	100	0	600	0	0	7
o9	150	100	0	600	0	0	8
e9	150	100	0	600	0	0	8
o10	150	100	0	600	0	0	9
e10	150	100	0	600	0	0	9
o11	50	100	0	600	0	0	8
e11	50	100	0	600	0	0	8
ts.0	100	150	0	600	0	2	0
tf.0	100	150	0	600	0	2	0
