nr	nv	nt	capacity
35	12	1	-1

node	x	y	a	b	load	s	vcap
p0	116	121	198	215	11	1	0
d0	113	80	251	272	-11	1	0
p1	13	70	415	432	9	1	0
d1	124	86	517	556	-9	2	0
p2	89	79	109	113	3	3	0
d2	143	199	408	436	-3	4	0
p3	108	90	211	259	3	3	0
d3	120	63	268	293	-3	3	0
p4	165	145	27	73	3	4	0
d4	61	128	213	241	-3	1	0
p5	184	118	338	361	12	1	0
d5	145	147	405	445	-12	4	0
p6	172	140	368	390	2	2	0
d6	109	109	488	510	-2	3	0
p7	192	123	24	58	8	4	0
d7	27	149	381	391	-8	4	0
p8	150	123	11	41	11	4	0
d8	176	53	412	442	-11	4	0
p9	16	198	304	315	6	2	0
d9	149	59	536	577	-6	1	0
p10	139	132	34	60	6	1	0
d10	163	153	62	106	-6	2	0
p11	198	147	58	81	12	1	0
d11	63	178	255	266	-12	3	0
p12	41	130	16	44	10	2	0
d12	190	126	337	370	-10	4	0
p13	125	22	211	251	5	4	0
d13	138	111	468	491	-5	4	0
p14	31	152	233	276	8	1	0
d14	187	185	454	488	-8	2	0
p15	77	82	482	520	9	3	0
d15	129	94	547	560	-9	2	0
p16	149	162	84	108	2	4	0
d16	179	67	418	467	-2	4	0
p17	114	136	152	192	12	1	0
d17	11	38	386	420	-12	1	0
p18	20	186	377	402	5	3	0
d18	64	174	434	473	-5	1	0
p19	192	33	364	411	3	3	0
d19	198	75	445	467	-3	1	0
p20	112	175	110	159	3	4	0
d20	68	77	247	273	-3	4	0
p21	94	54	188	207	11	4	0
d21	20	75	284	329	-11	3	0
p22	3	74	300	323	6	1	0
d22	34	16	392	428	-6	4	0
p23	147	177	168	191	1	4	0
d23	41	178	276	292	-1	3	0
p24	183	27	348	375	8	2	0
d24	47	96	548	561	-8	4	0
p25	81	95	223	239	10	1	0
d25	27	113	524	562	-10	1	0
p26	12	30	82	128	6	1	0
d26	150	39	263	302	-6	1	0
p27	81	28	188	216	10	4	0
d27	138	46	253	290	-10	2	0
p28	183	80	101	148	4	2	0
d28	137	84	404	419	-4	3	0
p29	178	74	33	40	1	1	0
d29	0	199	346	387	-1	3	0
p30	33	46	134	145	2	1	0
d30	176	36	352	403	-2	2	0
p31	1	37	73	107	8	1	0
d31	167	1	305	332	-8	3	0
p32	144	29	77	116	9	2	0
d32	25	126	266	296	-9	2	0
p33	68	56	132	153	4	4	0
d33	96	45	169	194	-4	2	0
p34	22	36	352	396	4	3	0
d34	24	54	399	426	-4	4	0
o0	150	100	0	600	0	0	12
e0	150	100	0	600	0	0	12
o1	150	100	0	600	0	0	6
e1	150	100	0	600	0	0	6
o2	50	100	0	600	0	0	10
e2	50	100	0	600	0	0	10
o3	50	100	0	600	0	0	7
e3	50	100	0	600	0	0	7
o4	50	100	0	600	0	0	11
e4	50	100	0	600	0	0	11
o5	150	100	0	600	0	0	7
e5	150	100	0	600	0	0	7
o6	50	100	0	600	0	0	9
e6	50	100	0	600	0	0	9
o7	150	100	0	600	0	0	8
e7	150	100	0	600	0	0	8
o8	50	100	0	600	0	0	9
e8	50	100	0	600	0	0	9
o9	150	100	0	600	0	0	9
e9	150	100	0	600	0	0	9
o10	150	100	0	600	0	0	12
e10	150	100	0	600	0	0	12
o11	150	100	0	600	0	0	10
e11	150	100	0	600	0	0	10
t0	100	150	0	600	0	2	0
