nr	nv	nt	capacity
40	12	1	-1

node	x	y	a	b	load	s	vcap
p0	116	121	198	215	3	1	0
d0	113	80	251	272	-3	1	0
p1	183	181	120	134	7	3	0
d1	143	54	516	547	-7	1	0
p2	189	149	67	99	1	4	0
d2	64	131	417	438	-1	3	0
p3	165	145	27	57	11	4	0
d3	61	128	213	241	-11	1	0
p4	192	123	24	58	11	4	0
d4	27	149	381	391	-11	4	0
p5	61	107	8	26	7	1	0
d5	105	178	100	133	-7	4	0
p6	70	104	125	159	5	3	0
d6	177	192	444	478	-5	2	0
p7	144	190	116	137	6	2	0
d7	2	55	319	352	-6	2	0
p8	27	49	132	145	9	1	0
d8	172	45	383	410	-9	1	0
p9	198	147	58	81	2	1	0
d9	63	178	255	266	-2	3	0
p10	41	130	16	44	11	2	0
d10	190	126	337	370	-11	4	0
p11	15	31	346	377	1	4	0
d11	157	91	559	576	-1	3	0
p12	144	112	13	22	4	1	0
d12	148	125	9	42	-4	1	0
p13	83	120	47	67	10	2	0
d13	99	150	76	94	-10	1	0
p14	18	32	392	425	3	2	0
d14	20	87	464	491	-3	3	0
p15	149	162	84	108	4	4	0
d15	179	67	418	452	-4	4	0
p16	150	20	298	301	2	3	0
d16	113	77	439	466	-2	1	0
p17	7	158	349	371	1	1	0
d17	109	63	497	513	-1	2	0
p18	114	136	152	186	11	1	0
d18	11	38	386	420	-11	1	0
p19	160	77	26	57	2	3	0
d19	74	129	319	336	-2	4	0
p20	181	92	30	66	4	4	0
d20	26	71	424	446	-4	2	0
p21	97	14	141	165	10	3	0
d21	78	172	333	367	-10	4	0
p22	124	63	150	169	8	4	0
d22	117	63	147	177	-8	4	0
p23	147	177	168	191	4	4	0
d23	41	178	276	292	-4	3	0
p24	61	9	90	124	4	3	0
d24	62	91	227	258	-4	2	0
p25	72	57	149	165	9	4	0
d25	151	131	430	464	-9	2	0
p26	183	27	348	375	2	2	0
d26	47	96	548	561	-2	4	0
p27	93	115	281	301	8	2	0
d27	55	179	394	426	-8	2	0
p28	12	30	82	114	4	1	0
d28	150	39	263	293	-4	1	0
p29	4	62	420	446	7	2	0
d29	60	123	562	577	-7	4	0
p30	81	28	188	216	9	4	0
d30	138	46	253	283	-9	2	0
p31	183	80	101	131	10	2	0
d31	137	84	404	419	-10	3	0
p32	178	74	43	244	11	1	0
d32	0	199	262	463	-11	3	0
p33	168	174	490	516	8	3	0
d33	162	173	493	522	-8	3	0
p34	76	192	324	356	6	1	0
d34	160	125	542	576	-6	2	0
p35	115	116	197	227	4	4	0
d35	137	53	289	295	-4	1	0
p36	1	37	73	107	11	1	0
d36	167	1	305	332	-11	3	0
p37	127	186	115	145	10	2	0
d37	137	61	525	550	-10	3	0
p38	22	36	352	383	6	3	0
d38	24	54	399	426	-6	4	0
p39	93	85	187	201	7	1	0
d39	82	82	211	223	-7	4	0
o0	150	100	0	600	0	4	11
e0	150	100	0	600	0	4	11
o1	150	100	0	600	0	4	9
e1	150	100	0	600	0	4	9
o2	50	100	0	600	0	1	11
e2	50	100	0	600	0	1	11
o3	50	100	0	600	0	1	9
e3	50	100	0	600	0	1	9
o4	50	100	0	600	0	1	11
e4	50	100	0	600	0	1	11
o5	150	100	0	600	0	4	10
e5	150	100	0	600	0	4	10
o6	50	100	0	600	0	1	9
e6	50	100	0	600	0	1	9
o7	150	100	0	600	0	4	9
e7	150	100	0	600	0	4	9
o8	50	100	0	600	0	1	9
e8	50	100	0	600	0	1	9
o9	150	100	0	600	0	4	8
e9	150	100	0	600	0	4	8
o10	150	100	0	600	0	4	11
e10	150	100	0	600	0	4	11
o11	150	100	0	600	0	4	7
e11	150	100	0	600	0	4	7
t0	100	150	0	600	0	3	0
