nr	nv	nt	capacity
20	4	2	-1

node	x	y	a	b	load	s	vcap
p0	129	123	272	429	10	3	0
d0	184	118	350	506	-10	2	0
p1	94	147	202	330	12	3	0
d1	148	92	434	566	-12	2	0
p2	104	138	373	477	13	2	0
d2	91	131	373	469	-13	1	0
p3	158	126	123	248	9	3	0
d3	106	97	259	343	-9	2	0
p4	86	137	242	371	5	2	0
d4	29	42	438	510	-5	1	0
p5	163	122	139	239	6	2	0
d5	189	95	442	578	-6	2	0
p6	29	63	143	247	7	2	0
d6	190	127	421	537	-7	1	0
p7	79	112	185	314	8	3	0
d7	37	70	286	379	-8	1	0
p8	112	116	299	432	6	1	0
d8	79	126	422	534	-6	1	0
p9	116	123	81	189	2	1	0
d9	7	34	388	464	-2	3	0
p10	89	146	233	309	6	1	0
d10	145	95	464	549	-6	3	0
p11	20	43	72	144	13	1	0
d11	30	30	99	163	-13	1	0
p12	37	55	154	259	9	2	0
d12	115	115	299	416	-9	2	0
p13	109	105	6	126	4	1	0
d13	188	122	200	284	-4	2	0
p14	143	99	90	171	6	2	0
d14	82	108	282	410	-6	3	0
p15	23	42	73	161	10	2	0
d15	127	115	357	465	-10	3	0
p16	151	102	35	140	4	2	0
d16	38	30	424	481	-4	1	0
p17	95	121	0	98	11	2	0
d17	4	54	284	393	-11	1	0
p18	37	64	146	259	7	1	0
d18	85	113	216	357	-7	2	0
p19	124	115	94	175	12	1	0
d19	110	137	126	203	-12	1	0
o0	140	100	0	600	0	0	12
e0	140	100	0	600	0	0	12
o1	60	100	0	600	0	0	6
e1	60	100	0	600	0	0	6
o2	60	100	0	600	0	0	6
e2	60	100	0	600	0	0	6
o3	60	100	0	600	0	0	13
e3	60	100	0	600	0	0	13
t0	100	150	0	600	0	2	0
t1	100	50	0	600	0	2	0
