nr	nv	nt	capacity
20	8	1	-1

node	x	y	a	b	load	s	vcap
p0	48	153	57	111	9	1	0
d0	23	53	508	560	-9	3	0
p1	170	7	252	306	12	2	0
d1	26	55	496	561	-12	1	0
p2	144	54	332	398	6	1	0
d2	114	103	373	444	-6	2	0
p3	172	78	126	161	3	2	0
d3	24	35	458	528	-3	2	0
p4	114	53	353	384	3	1	0
d4	46	28	419	506	-3	1	0
p5	9	7	264	336	3	2	0
d5	183	86	507	568	-3	2	0
p6	145	182	81	129	1	1	0
d6	100	103	470	516	-1	3	0
p7	93	126	76	133	11	1	0
d7	181	84	509	579	-11	2	0
p8	180	84	118	197	4	3	0
d8	191	6	226	279	-4	1	0
p9	24	165	94	139	2	2	0
d9	134	81	310	370	-2	3	0
p10	35	196	260	320	1	2	0
d10	75	112	453	503	-1	3	0
p11	34	117	53	106	2	1	0
d11	144	71	331	407	-2	3	0
p12	64	0	118	164	2	2	0
d12	104	113	498	559	-2	3	0
p13	98	182	94	166	11	2	0
d13	149	35	404	450	-11	1	0
p14	151	5	160	213	6	3	0
d14	121	108	285	353	-6	3	0
p15	5	79	188	234	8	1	0
d15	3	29	239	326	-8	1	0
p16	69	22	185	259	7	2	0
d16	128	31	281	338	-7	1	0
p17	89	174	126	161	10	3	0
d17	193	10	469	498	-10	2	0
p18	119	146	423	488	8	2	0
d18	83	103	515	556	-8	3	0
p19	125	57	251	281	6	3	0
d19	126	157	405	475	-6	2	0
o0	160	90	0	600	0	0	10
e0	160	90	0	600	0	0	10
o1	30	100	0	600	0	0	6
e1	30	100	0	600	0	0	6
o2	30	100	0	600	0	0	8
e2	30	100	0	600	0	0	8
o3	30	100	0	600	0	0	10
e3	30	100	0	600	0	0	10
o4	160	90	0	600	0	0	11
e4	160	90	0	600	0	0	11
o5	30	100	0	600	0	0	12
e5	30	100	0	600	0	0	12
o6	160	90	0	600	0	0	7
e6	160	90	0	600	0	0	7
o7	160	90	0	600	0	0	9
e7	160	90	0	600	0	0	9
t0	100	100	0	600	0	2	0
