nr	nv	nt	capacity
9	4	1	-1

node	x	y	a	b	load	s	vcap
p0	48	153	57	111	3	1	0
d0	23	53	508	560	-3	3	0
p1	170	7	252	306	7	2	0
d1	26	55	496	561	-7	1	0
p2	35	46	102	161	9	3	0
d2	162	168	369	414	-9	2	0
p3	117	132	27	102	19	2	0
d3	138	90	456	510	-19	1	0
p4	144	54	332	398	7	1	0
d4	114	103	373	444	-7	2	0
p5	142	118	285	337	12	3	0
d5	35	24	421	479	-12	1	0
p6	145	123	267	329	3	1	0
d6	149	138	265	324	-3	1	0
p7	111	103	405	450	5	3	0
d7	104	104	411	469	-5	2	0
p8	172	78	126	161	16	2	0
d8	24	35	458	528	-16	2	0
o0	160	90	0	600	0	0	20
e0	160	90	0	600	0	0	20
o1	160	90	0	600	0	0	19
e1	160	90	0	600	0	0	19
o2	30	100	0	600	0	0	19
e2	30	100	0	600	0	0	19
o3	30	100	0	600	0	0	18
e3	30	100	0	600	0	0	18
t0	100	100	0	600	0	2	0
